"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"438",441,"Boston University Ball Diamond","Private"," ",3,"Allston-Brighton",1.67668525," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," ","Ashford Str. Field","",0,0,NA,"INFO_Reallocation From Dept",73037.7084960938,1076.74217709842,42.3504997,-71.1053991
"445",448,"Little Mystic Access Area","BRA","A97/LWCFCh91/WP",3,"Charlestown",2.07," ","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","X"," "," ","",0,0,NA,"INFO_Reallocation From Dept",89985.6005859375,2090.81843380031,42.3815264,-71.0562767
"446",449,"Corey Street Court","BHA"," ",3,"Charlestown",0.17552117," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",7645.83813476562,363.766115822764,42.2924348,-71.1615123
"447",451,"Moakley Park","City of Boston","A97",3,"South Boston",58.77242512,"1187 Columbia Road","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Joe Moakley Park;  Joseph Moakley Park; Columbus Park","",0,0,NA,"PARK_Maintenance_Region 6",2560172.35229492,7177.03619437914,42.3256817,-71.0498714
"457",461,"Frederick Douglass Green","Private"," ",3,"South End",0.92205578," ","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",40165.4638671875,819.110207634822,42.3386419,-71.0829255
"469",473,"Suffolk Downs Infield","Private","WPA/ACEC/Ch91",3,"East Boston",28.37534005," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",1221235.54833984,4571.87966917549,42.3945758,-71.0104991
"470",474,"Allandale Field","Private","A97/Deed Restrt",3,"West Roxbury",2.63," ","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","BPRD","Private+BPRD","X","X","Annunciation Field","",0,0,NA,"INFO_Reallocation From Dept",114404.621582031,1383.38665090421,42.30226,-71.139151
"476",480,"Harvard Tract I","Private","100/GPOD",3,"Jamaica Plain",5.03376834," ","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X","Dana Greenhouses (Arnold Arboretum)","",0,0,NA,"INFO_Reallocation From Dept",222467.833251953,2195.5998950288,42.3676407,-71.1258235
"477",481,"Harvard Tract III","Private","100",3,"Jamaica Plain",1.45477498," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X","Center Street Tract (Arnold Arboretum)","",0,0,NA,"INFO_Reallocation From Dept",64261.5815429688,1483.85667251018,42.3676407,-71.1258235
"478",482,"Harvard Tract II","Private","100/GPOD",3,"Jamaica Plain",5.26425599," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X","Bussey Homestead (Arnold Arboretum)","",0,0,NA,"INFO_Reallocation From Dept",207117.852539062,1923.70219826082,42.3676407,-71.1258235
"496",500,"McCormack School Ball Field","City of Boston"," ",3,"Dorchester",1.4," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",61100.2260742188,985.143697907409,42.3183828,-71.0447624
"497",501,"Boston College HS Athletic Fields","Private"," ",3,"Dorchester",19.53," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",807846.774658203,4155.80044521113,42.3162356,-71.0454645
"502",506,"Franklin Park Zoo","City of Boston","A97",3,"Roxbury",63.82," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR","Zoo New England","X","X","Zoo New England","DCR",0,0,NA,"INFO_Reallocation From Dept",2780051.57861328,7641.83741155106,42.302786,-71.08681
"503",507,"Newland Street Park","City of Boston"," ",3,"South End",0.13833095," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X"," ","DND",0,0,NA,"INFO_Reallocation From Dept",6682.0986328125,357.034596523486,42.3391019,-71.0759385
"505",509,"Zero Quinn Way","City of Boston","A97",3,"West Roxbury",0.03197035," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",1395.0869140625,181.969756499311,42.2828192,-71.1567219
"506",510,"Harvard Business School Athltc Flds","Private"," ",3,"Allston-Brighton",0.56528814," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",24624.4191894531,671.410409046268,42.3655147,-71.1221412
"507",511,"Bromley Heath Play Area","City of Boston"," ",3,"Jamaica Plain",0.82120332," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",35772.2409667969,1206.1912772222,42.3252381,-71.1023307
"508",512,"Fenelon Street Playground","City of Boston","A97",3,"Roxbury",0.19," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",8380.89672851562,388.483560844976,42.3102596,-71.0739496
"509",513,"Oak Terrace Playlot","Private"," ",3,"Central Boston",0.0309362," ","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",1347.607421875,147.284300842407,42.3480693,-71.0640023
"510",514,"Stanley Bellevue Park","City of Boston","A97",3,"Dorchester",0.35177328,"23 Bellevue St","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",15599.3312988281,546.333349079749,42.3112637,-71.0678836
"512",516,"St Helena's Park","City of Boston","A97",3,"South End",0.17301401," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",7614.23583984375,352.523984783309,42.3400746,-71.066955
"513",517,"Theresa Hynes Park","Private","A97/CR",3,"Allston-Brighton",0.45342376," ","Residential District","Parks, Playgrounds & Athletic Fields","BCC"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",19434.0368652344,774.519113448049,42.3442647,-71.1545528
"515",519,"Eastport Park","Massport"," ",3,"South Boston",1.15,"2 Seaport Lane","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",50106.0930175781,1156.19210113303,42.3487207,-71.0402124
"516",520,"South Boston Maritime Park","Massport","Ch 91",3,"South Boston",0.88,"Btwn Congress St, D St Extension & Northern Ave","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",38184.1540527344,956.387382925523,42.3486838,-71.0395623
"517",521,"Ernst Chery Jr. Playground","City of Boston","A97",3,"Mattapan",0.25," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Orlando Street Playground","BPRD",0,0,NA,"PARK_Maintenance_Region 2",10190.5080566406,406.765878978043,42.274262,-71.0991275
"519",523,"North Point Park","Commonwealth of Massachusetts","A97/WPA/Ch91",3,"Central Boston",1.77174555," ","Special District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",101981.994384766,1503.94223438362,42.369016,-71.0690224
"520",524,"Bremen Street Park I","Massport","A97",3,"East Boston",17.79," ","Special District","Parks, Playgrounds & Athletic Fields","Massport","Massport","X","X","Sartori Stadium, East Boston Memorial Stadium","Massport",0,0,NA,"INFO_Reallocation From Dept",774851.827880859,8371.50571649397,42.3751272,-71.0309618
"568",572,"McGann Park","City of Boston","A97",3,"Roslindale",0.88,"420 West Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",38368.0754394531,912.454840740931,42.2642624,-71.1273663
"577",582,"Franklin Park II","City of Boston","A97/Lease",3,"Roxbury",16.44," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR","Zoo New England","X","X","""Sausage Lot""","DCR",0,0,NA,"INFO_Reallocation From Dept",716128.204589844,5477.2876372156,42.3030738,-71.0868152
"579",584,"O'Reilly Way Court","BHA"," ",3,"Charlestown",0.53," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",23037.267578125,768.425595411645,42.378541,-71.0600838
"581",586,"South Shore Plaza Courts","Private","WPA/Ch91",3,"East Boston",0.23," ","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",10181.2375488281,403.671116346972,42.2219952,-71.0237679
"583",588,"West End Recreation Complex","Private"," ",3,"Central Boston",3.42," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",149003.332275391,2290.24107898809,42.3218774,-71.0906502
"586",591,"Brian Honan Park","Private","A97/CR",3,"Allston-Brighton",0.45,"Allston Street","Residential District","Parks, Playgrounds & Athletic Fields","BCC","Private","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",41975.0708007812,1141.82149610314,42.3445218,-71.140117
"591",596,"East Boston Social Centers Playlot","Private"," ",3,"East Boston",0.33," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",14764.4235839844,486.495728296478,42.3655297,-71.0325978
"592",597,"Oxford Place Plaza","Private"," ",3,"Central Boston",0.05," ","Special District","Malls, Squares & Plazas","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",2039.81176757812,178.74041429616,42.3520198,-71.0610512
"596",601,"Mattahunt Schoolyard","City of Boston"," ",3,"Mattapan",3.31," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BPS","N","X"," ","BPS",0,0,NA,"INFO_Reallocation From Dept",143364.266357422,2528.80734496431,42.2763126,-71.1033928
"601",606,"Melvinside Play Area","Private"," ",3,"Dorchester",0.4," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",17476.1357421875,814.954326342683,42.3121723,-71.0584124
"605",610,"Franklin Field BHA Green","City of Boston"," ",3,"Mattapan",0.7," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",30634.5209960938,863.978412842916,42.2901003,-71.0849682
"606",611,"Franklin Field BHA Playground","City of Boston"," ",3,"Mattapan",0.39," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",17021.6320800781,592.290923985445,42.2903317,-71.0871966
"607",612,"ELC Playlot","City of Boston"," ",3,"Roxbury",0.45," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",19494.5639648438,562.619732256206,42.3152777,-71.0792115
"612",617,"Bessie Barnes Park","Community Group/Nonprofit","Land Trust",3,"South End",0.1," ","Residential District","Parks, Playgrounds & Athletic Fields","BNAN"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",4398.55200195312,267.182415540545,42.3360548,-71.0840861
"615",620,"Carter School Grounds","City of Boston"," ",3,"South End",0.49," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",21284.5095214844,1052.44039805116,42.3405056,-71.0836622
"625",630,"59 Crawford Street Playground","Private","Land Trust",3,"Roxbury",0.24748528," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," ","","",0,0,NA,"INFO_Reallocation From Dept",10780.4465332031,431.063986416894,42.3228563,-71.0962028
"630",635,"Beethoven School Play Area","City of Boston","A97",3,"West Roxbury",0.52," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",22852.0168457031,762.397365983542,42.2636449,-71.1549705
"634",640,"Almont Park II","City of Boston"," ",3,"Mattapan",0.15," ","Open Space & Residential Districts","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X","Hunt Playground","PWD",0,0,NA,"PARK_Maintenance_Ground Maintenance",8118.84326171875,598.070865464245,42.2742287,-71.0969496
"645",651,"Southwest Corridor Park Extension","BHA"," ",3,"Roxbury",0.17754467,"31-81 Prentiss St","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",7733.84326171875,638.631056297822,42.3263392,-71.0990659
"654",660,"Malcolm X Park II","City of Boston"," ",3,"Roxbury",0.19,"Paulding Street","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X","Washington Park","",0,0,NA,"PARK_Maintenance_Ground Maintenance",8229.14086914062,778.216702454554,42.3213559,-71.0891464
"656",662,"East Boston Memorial Park II","Massport","CAT Mit",3,"East Boston",3.06," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",133420.787841797,5499.07476276424,42.3720445,-71.0312049
"657",663,"East Boston Memorial Park III","Commonwealth of Massachusetts","CAT Mit",3,"East Boston",2.01," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",87771.3178710938,2643.43110473054,42.3720445,-71.0312049
"658",664,"Bremen Street Park II","Massport","CAT Mit",3,"East Boston",0.01," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL","Massport","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",424.158447265625,84.2252775062007,42.3780709,-71.0260975
"668",674,"Richmond & North Streets Park II","MassDOT"," ",3,"Central Boston",0.28,"201 North Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"PARK_Maintenance_Region 1",12130.3276367188,1123.97782275858,42.3600825,-71.0588801
"675",681,"Shirley Eustis House Grounds","Private"," ",3,"Roxbury",1.3,"33 Shirley Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",56708.72265625,2170.59029956895,42.323579,-71.071831
"676",682,"Recuperative Center Lawn","Private"," ",3,"West Roxbury",0.31,"1251 Centre Street","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",13526.1245117188,475.491213607098,42.297274,-71.1323186
"688",694,"Back Bay Fens","City of Boston","A97/NRHP/WPA",3,"Fenway/Kenmore",70.1,"Bounded by Beacon St, Park Drive, The Fenway, Evans Way, Forsyth Way, Westland Ave","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Includes Evans Way Park, Forsyth Park, Westland Avenue Gates","",0,0,NA,"PARK_Maintenance_Region 3",3053367.00219727,22839.9804342682,42.3434795,-71.094564
"689",695,"Riverway I","City of Boston","A97/NRHP/GPOD",3,"Fenway/Kenmore",17.18,"440 Park Drive","Institutional District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","contains Back Bay Yard, ""Sears Lot"" aka ""Sears Rotary""","",0,0,NA,"PARK_Maintenance_Region 3",748570.330810547,8745.03520291429,42.3366975,-71.1103371
"690",696,"Riverway III","City of Boston","A97/NRHP/GPOD",3,"Jamaica Plain",5.3,"W side of Riverway parkway, btwn Netherlands & on ramp  nr Brookline Ice & Coal","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",230726.903808594,4197.0859092439,42.3401701,-71.1092281
"692",698,"Jamaica Pond Park","City of Boston","A97",3,"Jamaica Plain",97.74,"507 Jamaica Way","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Pine Bank","",0,0,NA,"PARK_Maintenance_Region 3",4257189.26000977,8048.49742934009,42.315757,-71.117527
"693",699,"Condor Street Beach II","City of Boston"," ",3,"East Boston",0.2,"Condor Street, Adj to Dist 9 Public Works Yard","Industrial District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",8875.08325195312,1551.50346783703,42.3823953,-71.035721
"695",701,"Kennedy Family Service Center Park","Private"," ",3,"Charlestown",0.11,"29 Vine Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X","Vine-Moulton Park","",0,0,NA,"INFO_Reallocation From Dept",4763.56640625,285.493041086928,42.3765511,-71.0578159
"696",702,"Kennedy Family Service Cntr Playlot","Private"," ",3,"Charlestown",0.2,"35 Vine Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," ","Vine Street Playlot","",0,0,NA,"INFO_Reallocation From Dept",8713.345703125,374.959313471639,42.3765511,-71.0578159
"697",703,"London Street Park","MassDOT","License",3,"East Boston",0.14,"89 London Street","Residential District","Parks, Playgrounds & Athletic Fields","Private"," ","N","X","London St Play Area;  E B Central Catholic Schl Park","",0,0,NA,"PARK_Maintenance_Region 1",6274.21337890625,317.069539146292,42.3732523,-71.0391579
"699",705,"West Roxbury H.S. Campus","City of Boston"," ",3,"West Roxbury",7.0780567," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",308320.222045898,5364.07356843904,42.2820359,-71.174083
"700",706,"Conley School Play Yard","City of Boston"," ",3,"Roslindale",1.42,"40 Poplar"," ","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",61904.3627929688,1937.95080040023,42.274782,-71.1270732
"701",707,"Columbia Road Park","Commonwealth of Massachusetts","A97",3,"Dorchester",0.12,"48 Buttonwood Street","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X","John McCormack Park","",0,0,NA,"INFO_Reallocation From Dept",5390.63940429688,304.163632267398,42.320494,-71.0571194
"708",714,"Fire Alarm House Grounds","City of Boston","A97",3,"Fenway/Kenmore",0.84,"59 The Fenway","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BFD","X"," ","Back Bay Fens","",0,0,NA,"INFO_Reallocation From Dept",36785.2658691406,1398.95423957175,42.3566836,-71.0519748
"717",723,"Dever School Schoolyard","City of Boston"," ",3,"Dorchester",1.13," "," ","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",49245.9543457031,1534.19482996846,42.317679,-71.0426997
"718",724,"McCormack School Courts","City of Boston"," ",3,"Dorchester",0.32,"325 Mt Vernon Street"," ","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",13785.6213378906,473.611553218092,42.3176242,-71.0436379
"732",738,"Mishawam Playlots","Private"," ",3,"Charlestown",0.24," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",10432.5036621094,586.490499985382,42.3600825,-71.0588801
"737",743,"Maple Sonoma Streets Community Park","City of Boston"," ",3,"Roxbury",0.26,"84 Maple Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL","Community Group/Nonprofit","N","X"," ","DND",0,0,NA,"INFO_Reallocation From Dept",11147.7761230469,445.536298707787,42.3600825,-71.0588801
"738",744,"Erie Wolcott Streets Park","BNAN","Land Trust",3,"Roxbury",0.25,"72-78 Erie Street","Residential District","Parks, Playgrounds & Athletic Fields","BNAN","BNAN","N","X"," ",NA,0,0,NA,"INFO_Reallocation From Dept",10845.8903808594,429.312758005184,42.3020198,-71.0815624
"740",746,"Sweeney Playground","City of Boston","A97",3,"South Boston",0.47965763,"180 West Fifth Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",20139.7897949219,606.818518730277,42.3371441,-71.0515411
"741",747,"Ryan Play Area","City of Boston","A97",3,"Dorchester",0.63,"9 Harborview Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",27718.0434570312,682.230066459275,42.3863854,-71.0716905
"742",748,"Lambert Avenue Playground","City of Boston","A97",3,"Roxbury",0.66,"Opposite 52 Lambert Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",28837.8103027344,686.633527056133,42.3271968,-71.0907248
"743",749,"Adams King Playground","City of Boston","A97",3,"Dorchester",0.68,"470 Adams Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Old Hemenway School Site","",0,0,NA,"PARK_Maintenance_Region 2",29509.7055664062,695.100061124959,42.2934897,-71.0569267
"744",750,"Meany Park","Commonwealth of Massachusetts","A97",3,"Dorchester",0.22341152," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",10147.8815917969,410.342283831623,42.3188052,-71.0589696
"748",754,"Clifford Playground","City of Boston","A97",3,"Roxbury",7.65642255,"Opposite 65 Proctor St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",329003.131591797,2814.56412804206,42.3264873,-71.0687192
"749",755,"Elmhurst Street Park","City of Boston","A97",3,"Dorchester",0.23484021,"27-35 Elmhurst Street","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",10229.6396484375,437.957112853099,42.2890438,-71.0765718
"750",756,"Kevin Fitzgerald Park","Community Group/Nonprofit","Land Trust",3,"Jamaica Plain",6.58," ","Conservation Protection Subdistrict","Parks, Playgrounds & Athletic Fields","Community Group/Nonprofit"," ","N","X","Puddingstone Park","",0,0,NA,"INFO_Reallocation From Dept",286503.966064453,2815.78621456781,42.3323159,-71.1028877
"757",763,"Bradford Street Play Area","City of Boston","A97",3,"South End",0.04,"18 Bradford Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",1596.47534179688,161.649461988944,42.471285,-71.136817
"759",765,"Laviscount Park","City of Boston","A97",3,"Roxbury",0.64,"80 Humboldt Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Townsend Street Plaza","BPRD",0,0,NA,"PARK_Maintenance_Region 5",50272.5744628906,1081.07474441631,42.3166302,-71.0862681
"761",767,"Hynes Playground","City of Boston","A97",3,"West Roxbury",6.36389352,"480 VFW Pkwy","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",279491.687744141,2129.95501831755,42.2945376,-71.1533924
"762",768,"Rink Grounds","Commonwealth of Massachusetts","A97",3,"Charlestown",0.73," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",31985.9260253906,1995.2574542862,42.3412352,-71.084523
"763",769,"Columbia Road Totlot","City of Boston"," ",3,"Dorchester",0.22," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",9388.52319335938,403.966027722635,42.3106238,-71.0719691
"765",771,"Roxbury Heritage State Park I","Commonwealth of Massachusetts","A97",3,"Roxbury",2.81," ","Institutional District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",122703.809082031,3884.10699569689,42.3304235,-71.0904653
"770",776,"McCormack School Yard","City of Boston","",3,"Dorchester",0.58,"315 Mt Vernon Street","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL","","N","","","BPS",0,0,NA,"INFO_Reallocation From Dept",25390.0336914062,646.843718100369,42.3176242,-71.0436379
"772",778,"Joyce Playground","City of Boston","A97",3,"Allston-Brighton",1.31255051,"80 Union Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",59447.818359375,1041.22460075963,42.3451688,-71.15135
"773",779,"Cassidy Playground","City of Boston","A97",3,"Allston-Brighton",9.3341859,"381 Chestnut Hill Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",418485.180664062,2708.18130290874,42.3348413,-71.1526497
"774",780,"Shubow Park I","City of Boston","A97",3,"Allston-Brighton",0.57,"1825 Commonwealth Avenue","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Chiswick Park","",0,0,NA,"PARK_Maintenance_Region 4",24900.6032714844,770.589468996072,42.340244,-71.1520927
"775",781,"Shubow Park II","City of Boston","",3,"Allston-Brighton",0.16,"1825 Commonwealth Avenue","Open Space District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X","Chiswick Park","BPWD",0,0,NA,"PARK_Maintenance_Region 4",6776.513671875,671.207521129243,42.3425691,-71.1007045
"778",784,"Watson Park II","BHA"," ",3,"South End",0.02154804,"15 Taylor Str.","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",995.341796875,152.714973601761,42.3436736,-71.0687889
"779",785,"Watson Park I","BRA"," ",3,"South End",0.08,"15 Taylor Str.","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BRA","N","X"," ","BRA",0,0,NA,"PARK_Maintenance_Region 6",3605.4208984375,399.924728714431,42.3437892,-71.0684871
"780",786,"Rossmore Stedman Park","City of Boston","A97",3,"Jamaica Plain",0.07394843,"Opposite 41 Rossmore Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",3204.29663085938,248.070208521775,42.3047594,-71.106648
"781",787,"Brewer Burroughs Tot Lot","City of Boston","A97",3,"Jamaica Plain",0.18565302,"Opposite 2 Brewer Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",8330.25,373.015354961216,42.376847,-71.0568214
"786",792,"Tebroc Street Playlot","City of Boston","",3,"Dorchester",0.02,"","Residential District","Parks, Playgrounds & Athletic Fields","","","N","X","","DND",0,0,NA,"INFO_Reallocation From Dept",945.75830078125,125.095162137201,42.2915205,-71.0562767
"790",796,"BU Yard","Private","",3,"Fenway/Kenmore",0.18,"","Residential District","Parks, Playgrounds & Athletic Fields","","","N","N","","",0,0,NA,"INFO_Reallocation From Dept",7986.96411132812,382.276942152896,42.3518484,-71.1107301
"795",801,"Webster Avenue Playground","City of Boston","A97",3,"Central Boston",0.06,"17-19 Unity Street","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","","X","X","","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",2456.517578125,201.612683789483,42.3600825,-71.0588801
"798",804,"Mt. Pleasant Play Area","City of Boston","A97",3,"Roxbury",0.31333134,"30 Mt. Pleasant Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",17360.6442871094,575.620437990333,42.3270155,-71.0792115
