"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"246",248,"Veterans Memorial Park","BHA"," ",3,"South Boston",0.20177296," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",29567.353515625,690.547858681299,42.3285819,-71.0865104
"247",249,"Ronan Park","City of Boston","A97",3,"Dorchester",11.27463098,"Opposite 65 Mt. Ida Road","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",489640.900146484,3299.81232037168,42.304811,-71.0633606
"249",251,"Byrne Playground","City of Boston","A97",3,"Dorchester",1.26302622,"23 Everett Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",51774.0473632812,1032.82350053011,42.3009296,-71.0521911
"250",252,"Doherty Gibson Playground","City of Boston","A97",3,"Dorchester",5.72627282," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Townfield","",0,0,NA,"PARK_Maintenance_Region 2",249440.879882812,2054.53191453818,42.2974092,-71.0620338
"251",253,"Wellesley Park","City of Boston","A97",3,"Dorchester",0.71338629,"29 Wellesley Park","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",31075.6608886719,922.117197121331,42.2962188,-71.0656652
"252",254,"McMorrow Playground","Commonwealth of Massachusetts","A97",3,"Dorchester",5.23186736," ","Industrial District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",227904.194091797,2377.88674559507,42.2962269,-71.0516339
"253",255,"Hemenway Playground","City of Boston","A97",3,"Dorchester",4.39521048,"531 Adams Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",191458.771972656,1754.85959207447,42.2915205,-71.0562767
"254",256,"Rev. Loesch Family Park","City of Boston","A97",3,"Dorchester",2.25259606,"Opposite 21 Wainwright Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Cronin/Wainwright Park","",0,0,NA,"PARK_Maintenance_Region 2",98078.5544433594,1250.41788794732,42.2902183,-71.0663167
"256",258,"Walsh Playground","City of Boston","A97",3,"Dorchester",6.94564498,"Opposite 31 Clancy Road","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",302557.67578125,2368.6903099322,42.2765505,-71.0704614
"258",260,"Dorchester Park","City of Boston","A97",3,"Dorchester",27.29735362,"1003 Adams Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",1189093.86376953,6480.99575306627,42.2768497,-71.0635194
"260",262,"Toohig Playground","Commonwealth of Massachusetts","A97",3,"Dorchester",2.12423446," ","Residential District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",92533.2980957031,1568.73248760386,42.3600825,-71.0588801
"261",263,"Martin Hilltop Playground","City of Boston","A97",3,"Dorchester",1.31193964,"101 Myrtlebank Ave.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",57233.6875,997.690052514964,42.3600825,-71.0588801
"266",268,"Mother's Rest at Four Corners","City of Boston","A97",3,"Dorchester",1.12453477," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",49925.3754882812,1020.59963183234,42.2974547,-71.0718762
"267",269,"Ripley Playground","City of Boston","A97",3,"Dorchester",0.82672673,"Opposite 24 Ripley Road","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",36854.8151855469,940.464336909915,42.2994313,-71.0760546
"268",270,"Garvey Playground","City of Boston","A97",3,"Dorchester",5.27312017,"Opposite 345 Neposet Ave.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","William H. Garvey Playground","",0,0,NA,"PARK_Maintenance_Region 2",229295.844238281,1961.12610391336,42.2881745,-71.0456546
"270",272,"Ventura Playground","Commonwealth of Massachusetts","A97",3,"Dorchester",1.30990583," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",57060.5126953125,1193.68730170824,42.3600825,-71.0588801
"271",273,"Conley & Tenean Streets Park","Commonwealth of Massachusetts","A97",3,"Dorchester",0.50706674," ","Industrial District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",22088.2194824219,724.430337494891,42.3600825,-71.0588801
"272",274,"Norton Street Playground","BRA"," ",3,"Dorchester",0.06590689," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",2957.49487304688,228.763547182039,42.3065098,-71.0694156
"276",278,"YMCA Community Park","Private"," ",3,"Dorchester",1.02749317," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",44758.3979492188,1170.51164986391,42.2569999,-71.1204862
"287",289,"Hayes Park","City of Boston","A97",3,"South End",0.28368006,"Opposite 178 West Canton Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",11986.6333007812,438.110833434821,42.3437608,-71.0754975
"288",290,"Union Park","City of Boston","A97",3,"South End",0.37347945,"24 Union Park","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",16269.0524902344,730.760914716059,42.3429554,-71.0717352
"289",291,"Peters Park II","BRA","",3,"South End",0.42185015,"230 Shawmut Ave.","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," "," ",0,0,NA,"INFO_Reallocation From Dept",22088.9943847656,1330.0519026963,42.3429565,-71.0675046
"290",292,"Peters Park I","City of Boston","A97",3,"South End",3.39506058,"230 Shawmut Ave.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," "," ",0,0,NA,"PARK_Maintenance_Region 6",144907.222167969,1789.60420587127,42.3429565,-71.0675046
"291",293,"Rotch Playground","City of Boston","A97",3,"South End",2.74585015,"30 Randolph Str.","Industrial District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",119611.359375,1412.8497745263,42.3417682,-71.0642623
"292",294,"Ringgold Park","City of Boston","A97",3,"South End",0.38043644,"10 Ringgold Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Hanson St. Play Area, Ringgold St. Play Area"," ",0,0,NA,"PARK_Maintenance_Region 6",19405.7983398438,603.736020875378,42.3432577,-71.0701585
"297",299,"Carter Playground","City of Boston","A97",3,"South End",4.91455022,"627 Columbus Ave","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",214081.612548828,2132.06966830621,42.3387834,-71.0850611
